brand_key,campaign_key,group_key,year,month,impressions,reach,clicks,sales,family,budget,cost,contribution,_merge,matched
b d multimarca,cyber day,Retail Display,2025,6,308859.0,0.0,1746.0,0.0,,,,,left_only,False
bata industrials,lwlurfown,CRM,2024,3,0.0,53974.0,3200.0,977274.0,,,,,left_only,False
bata industrials,qushbwla9,CRM,2024,3,0.0,99597.0,605.0,2139823.0,,,,,left_only,False
bauker,ojepykjxv,CRM,2025,4,0.0,1181.0,9.0,31642442.0,,,,,left_only,False
bbq grill,6189516 008554,CRM,2023,3,0.0,47612.0,5802.0,219990.0,,,,,left_only,False
bbq grill,6189516 009316,CRM,2023,5,0.0,1125858.0,101142.0,2923800.0,,,,,left_only,False
bbq grill,6189516 010739,CRM,2023,8,0.0,101487.0,96.0,0.0,,,,,left_only,False
bbq grill,aon febrero 2026,Sponsored Products,2026,2,86772.0,0.0,1890.0,9229600.0,AIRE LIBRE,800000.0,659200.0,140800.0,both,True
bbq grill,aon marzo 2026,Sponsored Products,2026,3,84815.0,0.0,2236.0,11059440.0,AIRE LIBRE,500000.0,412000.0,88000.0,both,True
bbq grill,black week,Sponsored Products,2026,3,53568.0,0.0,1430.0,10959520.0,,,,,left_only,False
behnke,x,CRM,2024,10,0.0,211367.0,124.0,0.0,,,,,left_only,False
behnkehome,cyber monday,Retail Display,2024,9,45619.0,0.0,256.0,0.0,,,,,left_only,False
